case_id,parent_category,category,service_name,title,region,city,district,neighborhood,customer_symptom,customer_concern,actual_cause,repair_method,materials,work_time,price,production_lead_time,before_image_count,during_image_count,after_image_count,before_image_paths,during_image_paths,after_image_paths,summary,primary_keyword,secondary_keywords,slug,route,canonical_url,cta,published_date,source_file
case-097,싱크대 수리,상부장 처짐,상부장 처짐,"신림동 싱크대 상부장 추락 수리, 부서진 시공목을 다시 잡은 현장",서울 관악구 신림동,서울,관악구,신림동,"서울 관악구 신림동 싱크대 상부장 추락 수리 사례입니다. 상부장 뒤쪽에서 장을 잡아주던 시공목이 부서져 장이 내려온 상태였고, 장을 내린 뒤 합판으로 고정 구조를 다시 잡고 상부장을 재결합했습니다.",,시공목|합판|추락,서울 관악구 신림동 싱크대 상부장 추락 수리 사례입니다,시공목|합판,,,,1,0,1,/images/cases/case-097-before.jpg,,/images/cases/case-097-after.jpg,"서울 관악구 신림동 싱크대 상부장 추락 수리 사례입니다. 상부장 뒤쪽에서 장을 잡아주던 시공목이 부서져 장이 내려온 상태였고, 장을 내린 뒤 합판으로 고정 구조를 다시 잡고 상부장을 재결합했습니다.",신림동 싱크대 상부장 추락,신림동 싱크대 상부장 수리|신림동 상부장 추락 수리|신림동 상부장 시공목|관악구 싱크대 상부장 추락|관악구 싱크대 상부장 수리|관악구 상부장 추락 수리|서울 싱크대 상부장 추락|서울 상부장 시공목 수리|리스토리 스튜디오,case-097,/cases/case-097,https://www.restorystudio.co.kr/cases/case-097,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-24,lib/case-data.tsx
case-096,싱크대 수리,상부장 처짐,상부장 처짐,"마포구 싱크대 상부장 처짐 수리, 문짝보다 먼저 확인한 내부 연결 상태",서울 마포구,서울,마포구,,"서울 마포구 싱크대 상부장 처짐 사례입니다. 시공목 자체보다 이전 시공에서 시공목과 장 내부를 연결하는 피스가 빠져 있던 상태를 확인했고, 상부장을 내린 뒤 원인을 파악해 보강하며 마무리했습니다.",,시공목|피스|처짐,"시공목 자체보다 이전 시공에서 시공목과 장 내부를 연결하는 피스가 빠져 있던 상태를 확인했고, 상부장을 내린 뒤 원인을 파악해 보강하며 마무리했습니다",시공목|피스,,,,1,0,1,/images/cases/case-096-before.jpg,,/images/cases/case-096-after.jpg,"서울 마포구 싱크대 상부장 처짐 사례입니다. 시공목 자체보다 이전 시공에서 시공목과 장 내부를 연결하는 피스가 빠져 있던 상태를 확인했고, 상부장을 내린 뒤 원인을 파악해 보강하며 마무리했습니다.",마포구 싱크대 상부장 처짐,마포구 상부장 수리|싱크대 상부장 처짐 수리|상부장 처짐 원인|상부장 보강|시공목 연결 보강|싱크대 수리|서울 상부장 처짐|주방 상부장 수리|리스토리 스튜디오,case-096,/cases/case-096,https://www.restorystudio.co.kr/cases/case-096,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-24,lib/case-data.tsx
case-095,싱크대 수리,하부장 밑판 교체,하부장 밑판 교체,"강서구 화곡동 싱크대 하부장 밑판 교체, 전체 교체 대신 밑판만 정리한 사례",서울 강서구 화곡동,서울,강서구,화곡동,"서울 강서구 화곡동 싱크대 하부장 밑판 교체 사례입니다. 습기로 밑판이 불어 터진 상태였고, 장 전체 교체가 아니라 손상된 밑판만 제거한 뒤 새 밑판으로 정리했습니다.",,습기|밑판,서울 강서구 화곡동 싱크대 하부장 밑판 교체 사례입니다,밑판,,,,1,0,1,/images/cases/case-095-before.jpg,,/images/cases/case-095-after.jpg,"서울 강서구 화곡동 싱크대 하부장 밑판 교체 사례입니다. 습기로 밑판이 불어 터진 상태였고, 장 전체 교체가 아니라 손상된 밑판만 제거한 뒤 새 밑판으로 정리했습니다.",강서구 싱크대 하부장 밑판 교체,화곡동 싱크대 하부장 밑판 교체|싱크대 하부장 밑판 교체|하부장 밑판 교체|하부장 바닥 교체|싱크대 하부장 수리|싱크대 밑판 물먹음|싱크대 밑판 교체|강서구 싱크대 수리|리스토리 스튜디오,case-095,/cases/case-095,https://www.restorystudio.co.kr/cases/case-095,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-23,lib/case-data.tsx
case-094,가죽 리폼,특수 가죽 교체,특수 가죽 교체,"일산 병원 워커 인조가죽 교체, 환자 눈에 먼저 보이는 3가지 신호",경기 일산,경기,일산,,"경기 일산 병원 워커 인조가죽 교체 천갈이 사례입니다. 환자분들이 손을 올리는 패드 부분의 코팅이 벗겨지고 내부 원단이 보이던 상태였고, 프레임은 유지한 채 손이 닿는 가죽 부분만 새 인조가죽으로 다시 감싸 정리했습니다.",,코팅|가죽,경기 일산 병원 워커 인조가죽 교체 천갈이 사례입니다,인조가죽|가죽,,,,1,0,1,/images/cases/case-094-before.jpg,,/images/cases/case-094-after.jpg,"경기 일산 병원 워커 인조가죽 교체 천갈이 사례입니다. 환자분들이 손을 올리는 패드 부분의 코팅이 벗겨지고 내부 원단이 보이던 상태였고, 프레임은 유지한 채 손이 닿는 가죽 부분만 새 인조가죽으로 다시 감싸 정리했습니다.",일산 병원 워커 인조가죽 교체,일산 워커 천갈이|일산 병원 장비 가죽 교체|워커 인조가죽 교체|워커 팔받침 가죽 교체|병원 워커 가죽 교체|병원 장비 천갈이|특수 가죽 교체|가죽 리폼|리스토리 스튜디오,case-094,/cases/case-094,https://www.restorystudio.co.kr/cases/case-094,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-22,lib/case-data.tsx
case-093,싱크대 수리,상부장 처짐,상부장 처짐,"사당동 싱크대 상부장 처짐 수리, 주방이 무너지는 신호처럼 보였던 틈",서울 사당동,서울,사당동,,"서울 사당동 싱크대 상부장 처짐 수리 사례입니다. 상부장이 앞으로 처지며 천장과 장 사이 틈이 벌어진 상태였고, 실제 원인은 부실하게 시공된 시공목으로 확인되었습니다. 장을 내린 뒤 시공목을 보강하고 다시 결합해 안정적으로 사용할 수 있도록 정리했습니다.",,시공목|처짐,서울 사당동 싱크대 상부장 처짐 수리 사례입니다,시공목,,,,1,0,1,/images/cases/case-093-before.jpg,,/images/cases/case-093-after.jpg,"서울 사당동 싱크대 상부장 처짐 수리 사례입니다. 상부장이 앞으로 처지며 천장과 장 사이 틈이 벌어진 상태였고, 실제 원인은 부실하게 시공된 시공목으로 확인되었습니다. 장을 내린 뒤 시공목을 보강하고 다시 결합해 안정적으로 사용할 수 있도록 정리했습니다.",사당동 싱크대 상부장 처짐 수리,사당동 상부장 수리|사당동 싱크대 수리|싱크대 상부장 처짐 수리|싱크대 상부장 수리|상부장 처짐|상부장 보강|시공목 보강|주방 상부장 수리|리스토리 스튜디오,case-093,/cases/case-093,https://www.restorystudio.co.kr/cases/case-093,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-21,lib/case-data.tsx
case-092,가죽 리폼,의자 천갈이,의자 천갈이,"고양시 식탁의자 인조가죽 교체, 4개 의자를 버리기 전 확인한 1가지",경기 고양시,경기,고양시,,"경기 고양시 식탁의자 인조가죽 교체 사례입니다. 기존 좌판 인조가죽이 얇아 표면 벗겨짐과 찢김이 올라온 상태였고, 프레임은 유지한 채 새 국산 인조가죽으로 좌판을 다시 감싸 정리했습니다.",,가죽,경기 고양시 식탁의자 인조가죽 교체 사례입니다,인조가죽,,,,1,0,1,/images/cases/case-092-before.jpg,,/images/cases/case-092-after.jpg,"경기 고양시 식탁의자 인조가죽 교체 사례입니다. 기존 좌판 인조가죽이 얇아 표면 벗겨짐과 찢김이 올라온 상태였고, 프레임은 유지한 채 새 국산 인조가죽으로 좌판을 다시 감싸 정리했습니다.",고양시 식탁의자 인조가죽 교체,고양시 의자 천갈이|고양시 식탁의자 천갈이|고양시 의자 인조가죽 교체|식탁의자 인조가죽 교체|식탁의자 천갈이|의자 좌판 가죽 교체|국산 인조가죽 교체|가죽 리폼|리스토리 스튜디오,case-092,/cases/case-092,https://www.restorystudio.co.kr/cases/case-092,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-20,lib/case-data.tsx
case-090,싱크대 리폼,싱크대 리폼,싱크대 리폼,"잠실 싱크대 문짝 교체, 누렇게 변한 UV 하이그로시 문짝 교체 사례",서울 잠실,서울,잠실,,서울 잠실 싱크대 문짝 교체 사례입니다. 오래된 UV 하이그로시 문짝이 누렇게 변하고 낡아 보였던 주방을 새 문짝 맞춤 제작과 교체로 정리했습니다.,,경첩,서울 잠실 싱크대 문짝 교체 사례입니다,UV,,,,1,0,1,/images/cases/case-090-before.jpg,,/images/cases/case-090-after.jpg,서울 잠실 싱크대 문짝 교체 사례입니다. 오래된 UV 하이그로시 문짝이 누렇게 변하고 낡아 보였던 주방을 새 문짝 맞춤 제작과 교체로 정리했습니다.,잠실 싱크대 문짝 교체,잠실 싱크대 리폼|잠실 주방 리폼|싱크대 문짝 교체|싱크대 문 교체|주방 문짝 교체|UV 하이그로시 문짝|싱크대 리폼|주방 리폼|리스토리 스튜디오,case-090,/cases/case-090,https://www.restorystudio.co.kr/cases/case-090,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-17,lib/case-data.tsx
case-091,싱크대 수리,하부장 밑판 교체,하부장 밑판 교체,"송파구 싱크대 하부장 밑판 교체, 물에 불어 냄새가 나던 밑판 교체 사례",서울 송파구,서울,송파구,,"서울 송파구 싱크대 하부장 밑판 교체 사례입니다. 물에 불어 오염과 냄새가 올라오던 하부장 내부를 확인한 뒤, 전체 교체가 아니라 손상된 밑판만 제거하고 새 밑판을 다시 부착했습니다.",,물|밑판,서울 송파구 싱크대 하부장 밑판 교체 사례입니다,밑판,,,,1,0,1,/images/cases/case-091-before.jpg,,/images/cases/case-091-after.jpg,"서울 송파구 싱크대 하부장 밑판 교체 사례입니다. 물에 불어 오염과 냄새가 올라오던 하부장 내부를 확인한 뒤, 전체 교체가 아니라 손상된 밑판만 제거하고 새 밑판을 다시 부착했습니다.",송파구 싱크대 수리,송파구 싱크대 하부장 밑판 교체|싱크대 하부장 밑판 교체|하부장 밑판 교체|하부장 수리|싱크대 냄새|싱크대 물먹음|주방 하부장 수리|리스토리 스튜디오,case-091,/cases/case-091,https://www.restorystudio.co.kr/cases/case-091,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-19,lib/case-data.tsx
case-089,싱크대 수리,상부장 처짐,상부장 처짐,"용산 싱크대 상부장 추락, 수리 불가로 상부장 맞춤 제작 교체한 사례",서울 용산,서울,용산,,서울 용산 싱크대 상부장 추락 사례입니다. 오래된 상부장 내부 PB가 파손되어 기존 장을 다시 고정할 수 없는 상태였습니다. 철거 후 실측을 진행하고 영업일 기준 3~5일 뒤 새 상부장을 맞춤 제작하여 설치했습니다.,,PB|처짐|추락,오래된 상부장 내부 PB가 파손되어 기존 장을 다시 고정할 수 없는 상태였습니다,PB,,,,1,0,1,/images/cases/case-089-before.jpg,,/images/cases/case-089-after.jpg,서울 용산 싱크대 상부장 추락 사례입니다. 오래된 상부장 내부 PB가 파손되어 기존 장을 다시 고정할 수 없는 상태였습니다. 철거 후 실측을 진행하고 영업일 기준 3~5일 뒤 새 상부장을 맞춤 제작하여 설치했습니다.,용산 싱크대 상부장 처짐,용산 싱크대 상부장 추락|용산 상부장 교체|용산 상부장 맞춤 제작|용산 싱크대 수리|싱크대 상부장 수리|싱크대 상부장 교체|싱크대 상부장 맞춤 제작|주방 상부장 제작|주방 상부장 교체|상부장 처짐 수리|상부장 추락 수리|싱크대 리폼|주방 리모델링|리스토리 스튜디오,case-089,/cases/case-089,https://www.restorystudio.co.kr/cases/case-089,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-16,lib/case-data.tsx
case-088,싱크대 수리,상부장 처짐,상부장 처짐,"구로구 싱크대 상부장 처짐, 시공목 보강 후 재결합",서울 구로구,서울,구로구,,"서울 구로구 싱크대 상부장 처짐 사례입니다. 뒤쪽 시공목이 빠지면서 장이 처진 상태로 확인되어, 시공목을 보강하고 상부장을 다시 결합했습니다.",,시공목|처짐,"뒤쪽 시공목이 빠지면서 장이 처진 상태로 확인되어, 시공목을 보강하고 상부장을 다시 결합했습니다",시공목,,,,1,0,1,/images/cases/case-088-before.jpg,,/images/cases/case-088-after.jpg,"서울 구로구 싱크대 상부장 처짐 사례입니다. 뒤쪽 시공목이 빠지면서 장이 처진 상태로 확인되어, 시공목을 보강하고 상부장을 다시 결합했습니다.",구로구 싱크대 상부장 처짐,구로구 상부장 처짐|서울 상부장 처짐|싱크대 상부장 처짐|싱크대 상부장 수리|상부장 시공목|시공목 보강|상부장 재결합|주방 상부장 수리|리스토리 스튜디오,case-088,/cases/case-088,https://www.restorystudio.co.kr/cases/case-088,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-16,lib/case-data.tsx
